City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Cairns,AU,-16.9167,145.7667,90.1,65,0,3.44,clear sky
322,Sibolga,ID,1.7427,98.7792,75.09,89,98,2.95,overcast clouds
323,Hambantota,LK,6.1241,81.1185,76.12,87,100,5.88,light rain
324,Kilinochchi,LK,9.3961,80.3982,76.19,84,67,5.03,broken clouds
325,Kefamenanu,ID,-9.4467,124.4781,76.87,80,95,1.1,overcast clouds
326,Sinegorye,RU,62.0788,150.477,10.65,75,3,8.7,clear sky
327,Saldanha,ZA,-33.0117,17.9442,59.43,89,15,15.01,few clouds
328,Bengkulu,ID,-3.8004,102.2655,74.05,93,100,5.59,overcast clouds
329,Namatanai,PG,-3.6667,152.4333,85.17,66,88,5.5,overcast clouds
330,Tukrah,LY,32.5341,20.5791,70.11,81,0,6.8,clear sky
331,Pitimbu,BR,-7.4706,-34.8086,77.59,75,88,13.27,overcast clouds
332,Ayan,RU,56.45,138.1667,34.56,56,100,7.34,overcast clouds
333,Klaksvik,FO,62.2266,-6.589,49.12,91,100,10.96,light rain
334,Alagir,RU,43.0422,44.2222,36.14,72,58,1.7,broken clouds
335,Atbasar,KZ,51.8,68.3333,37.54,52,100,4.63,overcast clouds
336,West Bay,KY,19.3667,-81.4167,84.27,74,20,6.91,few clouds
337,Talnakh,RU,69.4865,88.3972,7.05,97,95,2.3,overcast clouds
338,Henties Bay,NA,-22.116,14.2845,57.52,95,82,2.13,broken clouds
339,Ngaoundere,CM,7.3167,13.5833,65.12,83,26,1.99,scattered clouds
340,Concordia,AR,-31.393,-58.0209,68.18,66,75,9.28,broken clouds
341,Saravan,AM,39.7196,45.6483,41.61,56,0,4.03,clear sky
342,Dicabisagan,PH,17.0818,122.4157,76.8,85,100,11.9,overcast clouds
343,Tigil,RU,57.8,158.6667,33.08,84,100,24.45,overcast clouds
